"Timestamp","HostName","Id","ProcessName","Product"
"20190826T025700+0200","QLIKSERVER3","1808","ApplicationFrameHost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","7640","cayley",
"20190826T025700+0200","QLIKSERVER3","1388","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","2472","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3128","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3204","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3248","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3352","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3404","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3460","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3520","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3640","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3644","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3804","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3876","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3952","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4048","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4060","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4108","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4228","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","5976","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","6148","conhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","344","csrss",
"20190826T025700+0200","QLIKSERVER3","428","csrss",
"20190826T025700+0200","QLIKSERVER3","5980","csrss",
"20190826T025700+0200","QLIKSERVER3","2352","dllhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","5752","dllhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","6236","dllhost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4028","dotnet","Microsoft? .NET Core Framework"
"20190826T025700+0200","QLIKSERVER3","4040","dotnet","Microsoft? .NET Core Framework"
"20190826T025700+0200","QLIKSERVER3","916","dwm","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","6624","dwm","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","6348","Engine","Qlik Sense"
"20190826T025700+0200","QLIKSERVER3","7124","explorer","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","0","Idle",
"20190826T025700+0200","QLIKSERVER3","4208","licenses",
"20190826T025700+0200","QLIKSERVER3","864","LogonUI","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","584","lsass","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3336","mmc","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","8004","mmc","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","2536","msdtc","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1908","MsMpEng",
"20190826T025700+0200","QLIKSERVER3","2500","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3000","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3112","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3188","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3240","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3340","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3356","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3396","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3452","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3508","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3556","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3796","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3868","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3880","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","3940","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","7968","node","Node.js"
"20190826T025700+0200","QLIKSERVER3","6364","powershell","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","7400","Printing","Qlik.Printing.Sense.Service"
"20190826T025700+0200","QLIKSERVER3","6964","Proxy","Qlik Sense Proxy Service"
"20190826T025700+0200","QLIKSERVER3","3004","Qlik.Logging.Service","Qlik.Logging.Service"
"20190826T025700+0200","QLIKSERVER3","7116","rdpclip","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","6568","Repository","Qlik Sense Repository Service"
"20190826T025700+0200","QLIKSERVER3","6428","RuntimeBroker","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4460","Scheduler","Qlik Sense Scheduler Service"
"20190826T025700+0200","QLIKSERVER3","6508","SearchUI","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1188","ServerManager","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","668","ServiceDispatcher","QlikSense"
"20190826T025700+0200","QLIKSERVER3","556","services",
"20190826T025700+0200","QLIKSERVER3","1628","ShellExperienceHost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","6224","sihost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","248","smss",
"20190826T025700+0200","QLIKSERVER3","1792","spoolsv","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","356","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","660","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","724","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","856","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","900","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","936","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","944","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1004","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1040","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1096","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1224","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1372","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1488","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1924","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1980","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","3836","svchost","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4","System",
"20190826T025700+0200","QLIKSERVER3","140","SystemSettings","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","6948","taskhostw","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","1108","vmtoolsd","VMware Tools"
"20190826T025700+0200","QLIKSERVER3","1952","vmtoolsd","VMware Tools"
"20190826T025700+0200","QLIKSERVER3","448","wininit",
"20190826T025700+0200","QLIKSERVER3","488","winlogon","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","4976","winlogon","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","2032","WmiPrvSE","Microsoft? Windows? Operating System"
"20190826T025700+0200","QLIKSERVER3","2908","WmiPrvSE","Microsoft? Windows? Operating System"
